SubID,Accurate,SetSize,Change
14,1,3,1
14,1,8,0
14,1,4,1
14,1,2,1
14,1,4,1
14,1,3,0
14,1,8,0
14,1,2,1
14,1,2,1
14,1,3,1
14,1,2,0
14,1,6,0
14,1,8,0
14,1,2,0
14,1,8,1
14,1,8,1
14,1,6,1
14,1,6,0
14,1,3,1
14,1,4,0
14,1,4,0
14,1,6,1
14,1,4,0
14,1,6,1
14,0,6,0
14,1,8,1
14,1,4,1
14,1,3,0
14,1,3,0
14,1,2,0
14,1,4,1
14,1,4,0
14,1,2,1
14,1,3,1
14,1,3,1
14,1,6,1
14,1,3,0
14,1,8,0
14,1,8,0
14,1,6,0
14,1,6,0
14,1,2,0
14,1,8,1
14,1,4,1
14,1,2,0
14,1,8,1
14,1,2,1
14,1,6,1
14,1,8,1
14,1,4,1
14,1,3,0
14,1,3,1
14,1,3,0
14,1,4,0
14,1,2,1
14,1,6,0
14,0,8,0
14,1,4,0
14,1,2,0
14,1,6,1
15,1,3,0
15,1,2,0
15,1,2,0
15,1,4,0
15,1,3,0
15,1,6,1
15,1,6,0
15,1,6,1
15,1,8,1
15,1,8,1
15,1,3,1
15,1,4,1
15,1,3,0
15,1,2,1
15,1,2,1
15,1,8,0
15,1,6,0
15,1,2,0
15,0,8,0
15,1,3,1
15,1,4,1
15,1,2,1
15,0,4,0
15,1,6,0
15,0,8,0
15,1,8,1
15,0,6,1
15,1,4,1
15,1,3,1
15,1,4,0
15,1,6,1
15,1,3,0
15,1,4,1
15,1,4,1
15,1,3,1
15,1,3,0
15,1,2,1
15,1,2,1
15,0,4,0
15,0,8,0
15,1,8,1
15,1,6,1
15,1,6,0
15,1,8,1
15,0,2,1
15,1,4,1
15,1,6,0
15,1,3,0
15,1,8,0
15,1,4,0
15,1,2,0
15,0,8,0
15,0,6,1
15,1,3,1
15,1,3,1
15,1,6,0
15,1,8,1
15,1,4,0
15,1,2,0
15,1,2,0
16,1,6,1
16,1,3,1
16,1,8,1
16,1,2,0
16,1,2,1
16,1,4,0
16,1,6,0
16,1,2,1
16,1,3,0
16,1,8,1
16,1,2,0
16,1,2,1
16,1,4,1
16,1,6,1
16,1,3,0
16,1,6,0
16,1,4,1
16,1,6,0
16,1,2,0
16,1,4,1
16,1,3,0
16,1,8,0
16,1,8,1
16,1,6,1
16,1,4,0
16,1,3,1
16,1,3,1
16,1,8,0
16,0,8,0
16,0,4,0
16,1,4,1
16,1,6,0
16,1,8,0
16,1,2,0
16,1,3,0
16,1,8,1
16,1,8,1
16,1,8,0
16,1,3,0
16,1,4,1
16,1,6,1
16,1,2,0
16,1,6,1
16,1,2,1
16,1,3,0
16,1,3,1
16,0,6,0
16,1,4,0
16,1,4,1
16,1,4,0
16,1,8,1
16,1,2,0
16,0,8,0
16,1,6,1
16,1,3,1
16,1,2,1
16,1,2,1
16,1,3,1
16,1,6,0
16,0,4,0
18,1,2,1
18,1,8,0
18,1,8,0
18,1,4,0
18,1,6,1
18,1,6,1
18,0,8,1
18,1,8,1
18,1,3,1
18,1,6,0
18,1,3,1
18,1,3,0
18,1,3,1
18,1,4,1
18,1,3,0
18,0,8,0
18,1,4,1
18,1,2,0
18,1,6,0
18,1,2,1
18,1,6,1
18,1,2,0
18,1,8,1
18,1,6,0
18,1,2,1
18,1,3,0
18,1,2,0
18,1,4,1
18,1,4,0
18,1,4,0
18,1,3,0
18,0,8,0
18,1,3,1
18,1,2,1
18,1,2,1
18,1,4,1
18,0,8,0
18,1,4,1
18,1,3,0
18,1,2,0
18,1,3,1
18,0,6,0
18,1,2,1
18,1,4,0
18,1,8,1
18,1,4,0
18,1,3,0
18,1,4,0
18,0,6,1
18,1,6,1
18,1,2,0
18,1,2,0
18,1,8,1
18,0,8,1
18,1,8,0
18,1,4,1
18,1,6,0
18,1,3,1
18,0,6,1
18,1,6,0
19,1,6,1
19,1,4,1
19,1,4,0
19,0,8,1
19,1,8,0
19,1,4,1
19,1,3,1
19,1,2,0
19,1,2,0
19,1,3,1
19,0,6,1
19,1,4,0
19,1,6,1
19,1,6,0
19,1,2,1
19,1,8,0
19,0,8,0
19,0,2,1
19,1,6,0
19,1,3,1
19,1,2,1
19,1,3,0
19,1,8,1
19,1,6,0
19,1,3,0
19,1,8,1
19,1,4,0
19,1,2,0
19,1,4,1
19,1,3,0
19,1,8,0
19,1,2,0
19,1,2,0
19,1,6,1
19,1,4,0
19,1,3,1
19,1,4,1
19,1,2,1
19,1,4,0
19,1,3,0
19,1,4,1
19,1,6,0
19,1,6,1
19,1,2,1
19,1,3,0
19,1,2,1
19,1,6,1
19,1,8,1
19,1,4,1
19,1,3,1
19,1,2,0
19,1,3,1
19,1,6,0
19,0,3,0
19,1,4,0
19,1,6,0
19,1,8,1
19,0,8,0
19,1,8,0
19,0,8,1
20,1,4,1
20,1,3,0
20,1,6,0
20,0,3,1
20,1,8,1
20,1,2,0
20,1,8,0
20,1,2,1
20,1,4,1
20,1,3,1
20,1,2,0
20,0,8,0
20,1,4,1
20,0,8,0
20,1,3,1
20,1,6,1
20,0,4,0
20,0,8,1
20,0,4,0
20,1,6,1
20,0,6,0
20,1,2,1
20,1,2,0
20,1,2,1
20,1,4,0
20,1,8,1
20,0,6,1
20,0,3,0
20,0,6,0
20,1,3,0
20,1,2,1
20,1,4,1
20,1,3,0
20,1,3,1
20,1,2,0
20,1,8,1
20,1,3,0
20,0,8,0
20,1,2,1
20,0,6,0
20,1,6,1
20,1,3,1
20,1,2,0
20,1,4,1
20,0,8,0
20,1,6,1
20,1,8,1
20,0,6,1
20,1,4,1
20,0,6,0
20,1,8,1
20,1,4,0
20,1,3,0
20,1,2,0
20,1,4,0
20,1,4,0
20,1,2,1
20,0,6,0
20,1,3,1
20,0,8,0
21,0,8,1
21,1,3,0
21,1,2,1
21,0,6,0
21,1,2,0
21,1,8,1
21,1,4,0
21,1,8,1
21,1,3,0
21,1,4,1
21,1,3,1
21,1,6,1
21,0,8,0
21,0,8,0
21,1,3,0
21,0,6,1
21,1,6,1
21,0,8,0
21,1,2,1
21,1,4,0
21,1,4,1
21,1,2,0
21,1,4,0
21,1,6,0
21,1,3,1
21,0,6,0
21,1,2,1
21,1,4,1
21,1,3,1
21,1,2,0
21,1,4,1
21,1,2,0
21,1,3,1
21,1,3,0
21,1,2,1
21,0,8,0
21,1,4,0
21,1,2,1
21,1,4,1
21,0,3,0
21,1,6,0
21,1,3,1
21,1,6,0
21,1,6,1
21,1,4,1
21,0,8,0
21,1,6,0
21,1,2,1
21,1,6,1
21,1,8,1
21,1,3,0
21,1,3,1
21,1,2,0
21,0,4,0
21,0,8,0
21,0,4,0
21,1,8,1
21,0,8,1
21,0,6,1
21,1,2,0
22,1,2,1
22,1,4,1
22,1,8,1
22,0,3,0
22,1,4,0
22,1,4,0
22,1,6,1
22,0,8,0
22,1,6,1
22,1,2,1
22,1,6,0
22,1,2,0
22,1,3,0
22,1,8,1
22,0,4,1
22,0,8,1
22,0,6,0
22,1,3,1
22,1,3,0
22,1,4,1
22,1,2,1
22,1,6,0
22,1,2,0
22,1,3,1
22,1,6,1
22,1,2,0
22,0,8,0
22,1,8,0
22,1,3,1
22,1,4,0
22,1,6,0
22,1,8,1
22,1,6,1
22,0,6,0
22,1,6,0
22,1,2,0
22,0,6,1
22,1,4,1
22,1,3,1
22,1,2,1
22,1,2,1
22,0,3,1
22,1,2,1
22,1,4,0
22,1,8,0
22,1,6,1
22,1,2,0
22,0,4,0
22,0,3,0
22,1,4,1
22,0,2,0
22,1,4,0
22,1,4,1
22,1,8,0
22,1,3,0
22,0,8,1
22,1,3,1
22,1,3,0
22,1,8,1
22,1,8,0
23,1,2,0
23,1,6,1
23,1,2,0
23,1,8,1
23,1,3,0
23,0,4,0
23,1,6,1
23,1,2,0
23,0,6,0
23,1,2,1
23,0,8,0
23,1,3,1
23,0,6,0
23,0,4,0
23,1,8,0
23,0,8,0
23,1,3,1
23,1,6,1
23,1,8,1
23,1,4,1
23,1,3,0
23,1,2,1
23,1,4,1
23,0,4,0
23,1,4,1
23,1,2,1
23,0,6,0
23,1,3,1
23,1,3,0
23,1,8,1
23,1,2,1
23,1,6,0
23,1,3,1
23,1,3,0
23,1,6,1
23,1,2,1
23,1,2,0
23,1,2,0
23,1,4,1
23,1,8,1
23,1,3,0
23,0,4,0
23,0,3,0
23,1,2,0
23,1,4,0
23,1,4,0
23,0,6,0
23,1,6,1
23,1,8,1
23,0,8,0
23,1,6,0
23,1,2,1
23,0,8,0
23,0,3,1
23,1,6,1
23,0,8,0
23,1,8,1
23,1,3,1
23,1,4,1
23,1,4,1
24,1,4,1
24,1,3,0
24,0,6,0
24,1,2,1
24,1,8,0
24,1,6,1
24,1,3,0
24,1,6,1
24,1,4,1
24,1,2,1
24,0,8,1
24,1,4,1
24,0,8,0
24,0,4,0
24,1,3,0
24,1,3,1
24,1,8,1
24,1,6,0
24,0,4,0
24,1,4,0
24,0,8,0
24,0,6,0
24,1,3,1
24,1,3,1
24,1,6,1
24,0,8,1
24,1,2,1
24,1,2,0
24,1,2,0
24,1,2,0
24,1,3,0
24,1,2,0
24,1,6,0
24,1,4,1
24,1,8,1
24,1,8,0
24,1,2,1
24,1,6,1
24,1,4,0
24,1,2,1
24,0,3,0
24,1,6,1
24,0,6,0
24,1,6,0
24,0,8,0
24,0,2,0
24,1,8,1
24,0,8,1
24,1,6,1
24,1,3,1
24,1,8,0
24,1,3,1
24,0,4,0
24,1,4,1
24,1,3,1
24,1,2,0
24,1,3,0
