school,region,bracket_rank,overall_rank,pct_wins,league,strength_schedule,x_sweet16,x_elite8,x_final4,x_runner,x_won,ft_pct,pts_earned,pts_allowed,diff_pts,round_lost
Kansas,midwest,1,3,82.35,Big12,2,14,11,6,2,2,71.7,78.2,67.2,11,7
UNC,east,8,22,72.72,ACC,11,12,10,7,2,3,76.4,77.9,71.3,6.6,6
Villanova,south,2,7,78.79,BigE,4,8,5,4,0,2,83,71.7,62.7,9,5
Duke,west,2,6,82.35,ACC,32,16,8,5,0,3,73.8,80.1,67.8,12.3,5
Arkansas,west,4,14,75.76,SEC,17,2,2,0,0,0,76,75.9,68.3,7.6,4
Houston,south,5,18,85.3,Am,21,3,2,1,0,0,66.7,74.8,58.8,16,4
Miami,midwest,10,44,69.7,ACC,275,4,1,0,0,0,80,73.8,76,-2.2,4
St. Peter's ,east,15,56,63.33,MAAC,84,1,1,0,0,0,70.3,66.4,62.9,3.5,4
Arizona,south,1,2,91.18,Pac12,52,11,6,1,1,0,73.9,84,68.1,15.9,3
Gonzaga,west,1,1,89.66,WCC,48,11,4,2,2,0,71.5,87.2,66.2,21,3
Purdue,east,3,11,79.41,Big10,35,7,2,0,0,0,71.1,79.4,68.4,11,3
Texas Tech,west,3,9,73.53,Big12,27,4,2,1,1,0,69.8,72.1,60.6,11.5,3
UCLA,east,4,13,78.13,Pac12,10,11,4,4,1,0,74.1,75.4,64.5,10.9,3
Providence,midwest,4,17,83.33,BigE,23,1,0,0,0,0,72.8,71.5,66.2,5.3,3
Iowa St. ,midwest,11,34,62.5,Big12,44,4,1,0,0,0,68.3,65.6,62.5,3.1,3
Michigan,south,11,39,54.84,Big10,3,7,4,2,2,0,74.6,72.6,69.4,3.2,3
Baylor,east,1,4,81.25,Big12,22,5,3,1,0,1,69.7,77,64.1,12.9,2
Auburn,midwest,2,8,84.38,SEC,43,2,1,1,0,0,73.1,78.2,67.2,11,2
Wisconsin,midwest,3,16,77.42,Big10,29,10,4,3,1,0,74.3,69.9,66,3.9,2
Tennessee,south,3,10,78.79,SEC,5,6,1,0,0,0,71.5,73.5,62.9,10.6,2
Illinois,south,4,12,70.97,Big10,28,4,2,1,1,0,70.6,74.4,67.2,7.2,2
Saint Mary's,east,5,19,78.13,WCC,6,1,0,0,0,0,76.3,69.5,61.3,8.2,2
Texas,east,6,27,65.63,Big12,42,5,3,1,0,0,74.6,68.8,60.6,8.2,2
Murray St. ,east,7,26,93.75,MV,169,0,0,0,0,0,69.4,76.3,63.4,12.9,2
Ohio St. ,south,7,29,63.33,Big10,33,5,3,2,1,0,75.7,72.8,67.7,5.1,2
Michigan St. ,west,7,30,64.71,Big10,9,12,9,7,1,1,75,72.2,69,3.2,2
Creighton,midwest,9,40,66.67,BigE,25,1,0,0,0,0,73.8,69.2,66.4,2.8,2
TCU,south,9,35,62.5,Big12,31,0,0,0,0,0,67.4,68.5,64.9,3.6,2
Memphis,west,9,24,67.74,Am,15,4,3,1,1,0,69.4,75.2,68.3,6.9,2
Notre Dame,west,11,51,68.75,ACC,90,3,2,0,0,0,75.4,72.1,67.2,4.9,2
Richmond,midwest,12,53,65.71,A10,61,1,0,0,0,0,71.8,71,68.4,2.6,2
New Mexico St. ,west,12,49,81.25,WAC,86,0,0,0,0,0,70,70.8,64.9,5.9,2
Kentucky,east,2,5,78.79,SEC,18,12,9,4,1,1,72.6,79.4,66.6,12.8,1
Iowa,midwest,5,15,74.29,Big10,65,0,0,0,0,0,75.3,83.2,71.2,12,1
Uconn,west,5,20,71.88,BigE,36,7,6,4,0,3,75.3,74.8,65.3,9.5,1
LSU,midwest,6,28,66.67,SEC,26,3,1,1,0,0,73.1,72.6,63.4,9.2,1
Colorado St. ,south,6,23,83.33,MW,74,0,0,0,0,0,77.3,72.9,66.2,6.7,1
Alabama,west,6,21,59.38,SEC,1,2,1,0,0,0,72.8,79.5,76.5,3,1
USC,midwest,7,25,78.79,Pac12,100,3,2,0,0,0,66.4,72.4,66,6.4,1
San Diego St. ,midwest,8,33,74.19,MW,30,2,0,0,0,0,69.2,65.4,58.1,7.3,1
Seton Hall,south,8,41,67.74,BigE,60,1,0,0,0,0,75.2,70.6,66.4,4.2,1
Boise St. ,west,8,32,79.41,MW,57,0,0,0,0,0,65.1,67.7,61,6.7,1
Marquette,east,9,36,61.29,BigE,24,5,2,1,0,0,74.1,74,71.6,2.4,1
San Francisco,east,10,38,72.72,WCC,19,0,0,0,0,0,69,76.3,67.5,8.8,1
Loyola Chicago,south,10,31,78.13,A10,122,2,1,1,0,0,71.1,72.3,61.9,10.4,1
Davidson,west,10,46,81.81,A10,118,1,1,0,0,0,75.4,74.6,66.1,8.5,1
Virginia Tech,east,11,37,65.71,ACC,69,1,0,0,0,0,75.1,70.8,62.8,8,1
Indiana,east,12,47,60.61,Big10,58,4,1,1,1,0,70,70.8,66.2,4.6,1
UAB,south,12,45,79.41,CUSA,127,1,0,0,0,0,74,79.1,68.1,11,1
Akron,east,13,54,72.73,MAC,205,0,0,0,0,0,69.4,68.8,63.9,4.9,1
S. Dakota St. ,midwest,13,50,88.24,Summit,184,0,0,0,0,0,75.9,84.7,74.3,10.4,1
Chattanooga,south,13,48,79.41,Southern,105,0,0,0,0,0,75.9,72.5,65.4,7.1,1
Vermont,west,13,52,84.85,AE,212,0,0,0,0,0,74.1,74.6,61.1,13.5,1
Yale,east,14,55,63.33,Ivy,114,0,0,0,0,0,73.3,71.3,70,1.3,1
Colgate,midwest,14,59,67.65,Patriot,293,0,0,0,0,0,69.5,75,67.6,7.4,1
Longwood,south,14,57,81.25,BS,326,0,0,0,0,0,72.6,73.1,67.3,5.8,1
Montana St. ,west,14,61,79.41,BigSky,223,0,0,0,0,0,74.9,75,69.7,5.3,1
Jacksonville St. ,midwest,15,63,67.74,ASUN,269,0,0,0,0,0,68.8,70.7,67.1,3.6,1
Delaware,south,15,60,64.71,CAA,128,0,0,0,0,0,74.4,72.8,70.6,2.2,1
Cal St. Fullerton,west,15,64,67.74,BigW,214,0,0,0,0,0,76.7,68.6,66.4,2.2,1
Norfolk St. ,east,16,65,80,MEAC,355,0,0,0,0,0,69.7,72,66.6,5.4,1
Texas Southern,midwest,16,67,60,SWAC,339,0,0,0,0,0,67.9,69,66.1,2.9,1
Wright St. ,south,16,62,61.76,Horizon,231,0,0,0,0,0,76.6,75.5,72.3,3.2,1
Georgia St. ,west,16,58,64.29,SunBelt,183,0,0,0,0,0,72,68.5,68.2,0.3,1
