school,region,bracket_rank,overall_rank,pct_wins,league,strength_schedule,x_sweet16,x_elite8,x_final4,x_runner,x_won,ft_pct,pts_earned,pts_allowed,diff_pts
Alabama,south,1,4,85.29,SEC,1,2,1,0,0,0,72.6,82.2,68.5,13.7
Houston,midwest,1,1,91.18,Am,38,3,2,1,0,0,71.9,75,56.5,18.5
Purdue,east,1,9,85.29,Big10,27,7,2,0,0,0,74.3,73.1,62.7,10.4
Kansas,west,1,2,79.41,Big12,2,14,11,6,2,2,71.7,74.9,67.9,7
Arizona,south,2,3,82.35,Pac12,36,11,6,1,1,0,70.9,82.7,71.5,11.2
Texas ,midwest,2,7,76.47,Big12,9,5,3,1,0,0,75.2,77.9,67.4,10.5
Marquette,east,2,8,82.35,BigE,69,5,2,1,0,0,72.1,79.9,70.6,9.3
UCLA,west,2,5,85.29,Pac12,37,11,4,4,1,0,72.2,73.9,60.3,13.6
Baylor,south,3,19,68.75,Big12,5,5,3,1,0,1,74.9,77.2,70.2,7
Xavier,midwest,3,13,73.53,BigE,34,7,3,0,0,0,71.4,81.4,74.1,7.3
Kansas St. ,east,3,14,71.88,Big12,42,2,2,0,0,0,75,75.5,69,6.5
Gonzaga,west,3,11,84.85,WCC,16,11,4,2,2,0,70.2,86.5,73.9,12.6
Virginia,south,4,32,78.13,ACC,57,3,2,1,0,1,70.1,67.8,60.2,7.6
Indiana,midwest,4,16,66.67,Big10,19,4,1,1,1,0,71.2,75,68.5,6.5
Tennessee,east,4,22,69.7,SEC,20,6,1,0,0,0,71.4,71.8,58,13.8
Uconn,west,4,6,75.76,BigE,68,7,6,4,0,3,75.4,78.5,65,13.5
San Diego St. ,south,5,18,81.82,MW,7,2,0,0,0,0,73.6,71.3,63.8,7.5
Miami,midwest,5,30,78.13,ACC,247,4,1,0,0,0,79.2,72.2,77.3,-5.1
Duke,east,5,10,76.47,ACC,15,16,8,5,0,3,77.1,72.5,63.9,8.6
Saint Mary's,west,5,20,78.79,WCC,12,1,0,0,0,0,69.1,71,60,11
Creighton,south,6,15,63.64,BigE,32,1,0,0,0,0,76.7,76.6,68.5,8.1
Iowa St. ,midwest,6,26,59.38,Big12,10,4,1,0,0,0,67.4,68.4,62.8,5.6
Kentucky,east,6,12,65.63,SEC,25,12,9,4,1,1,70.3,75.1,68,7.1
TCU,west,6,17,63.64,Big12,49,0,0,0,0,0,70.1,75.2,67.9,7.3
Missouri,south,7,37,72.73,SEC,41,2,2,0,0,0,75.8,79.5,74.6,4.9
Texas A&M,midwest,7,23,73.53,SEC,39,3,0,0,0,0,75.9,73.2,66.2,7
Michigan St. ,east,7,35,61.29,Big10,18,12,9,7,1,1,76.2,70.2,67.4,2.8
Northwestern,west,7,33,65.63,Big10,74,0,0,0,0,0,75.1,67.7,62.5,5.2
Maryland,south,8,40,62.5,Big10,46,4,2,2,0,1,73.9,70.4,63.2,7.2
Iowa,midwest,8,42,59.38,Big10,61,0,0,0,0,0,73.9,80.2,74.4,5.8
Memphis,east,8,21,76.47,Am,33,4,3,1,1,0,74.7,79.8,71.9,7.9
Arkansas,west,8,25,60.61,SEC,3,2,2,0,0,0,69,74.4,67.4,7
West Virginia,south,9,27,57.58,Big12,4,7,2,1,0,0,74.1,76.3,71,5.3
Auburn,midwest,9,41,62.5,SEC,8,2,1,1,0,0,70.2,72.7,67.1,5.6
FAU,east,9,24,91.18,CUSA,110,0,0,0,0,0,71.8,78.2,65.3,12.9
Illinois,west,9,29,62.5,Big10,64,4,2,1,1,0,68,74.7,67,7.7
Utah St. ,south,10,28,76.47,MW,13,0,0,0,0,0,76.7,77.7,69.8,7.9
Penn St. ,midwest,10,31,62.86,Big10,28,1,0,0,0,0,73.8,72.3,68.4,3.9
USC,east,10,34,68.75,Pac12,77,3,2,0,0,0,74.4,72.8,67.2,5.6
Boise St. ,west,10,36,72.73,MW,26,0,0,0,0,0,73.9,71.7,64.7,7
NC State,south,11,38,69.7,ACC,60,3,0,0,0,0,72,78.2,70.8,7.4
undecided,midwest,11,,,,,,,,,,,,,0
Providence,east,11,43,65.63,BigE,91,1,0,0,0,0,74.5,78.1,71.3,6.8
undecided,west,11,,,,,,,,,,,,,0
Charleston,south,12,49,91.18,CAA,228,0,0,0,0,0,74.3,80.3,67.4,12.9
Drake,midwest,12,47,79.41,MW,120,0,0,0,0,0,77.1,73.8,64.4,9.4
Oral Roberts,east,12,45,88.24,Summit,179,1,0,0,0,0,78.4,82.5,69.9,12.6
VCU,west,12,48,79.41,A10,59,1,1,1,0,0,69.7,71.4,62.9,8.5
Furman,south,13,55,79.41,SoCon,249,0,0,0,0,0,73.5,80.4,71.4,9
Kent St. ,midwest,13,39,82.35,MAC,170,1,1,0,0,0,72.3,75.7,66.3,9.4
Louisiana,east,13,57,78.79,SunBelt,157,0,0,0,0,0,67.2,75.6,70.5,5.1
Iona,west,13,52,79.41,MAAC,173,0,0,0,0,0,73.1,76.4,65,11.4
UCSB,south,14,58,79.41,BigW,292,0,0,0,0,0,73.7,71.8,65.8,6
Kennesaw St. ,midwest,14,59,76.47,ASUN,152,0,0,0,0,0,66.3,73.7,70.8,2.9
Montana St. ,east,14,60,73.53,BigSky,237,0,0,0,0,0,76.3,71,66.9,4.1
